1,2,3,4
625,558,587,275
485,285,558,405
422,381,432,420
383,243,465,317
399,299,419,315
500,0,505,500
281,208,272,200
373,250,0,0
0,0,549,0
641,298,763,0
304,242,390,312
444,380,472,392
467,411,534,450
495,0,519,413
321,283,394,348
422,278,506,297
842,434,846,404
707,0,741,0
500,0,749,0
283,243,350,279
352,226,436,274
518,415,502,474
425,400,436,298
413,0,435,461
466,0,480,497
337,233,368,314
560,208,605,378
406,356,438,313
414,388,416,350
585,500,632,588
556,297,576,375
462,338,633,450
416,352,443,254
396,245,402,398
423,324,482,486
342,219,389,267
